iterations,EU th,EU th time,EU,EU time,Barrier th,Barrier th time,Barrier,Barrier time,Lookback th,Lookback th time,Lookback,Lookback time
1,18.023,0,0,0,15.1816,0,15.165,0.06,37.7605,0.06,37.757,0.13
1,18.023,0,4.29662,0,15.1816,0,15.0912,0.06,37.7605,0.06,37.6466,0.12
1,18.023,0,40.5804,0.01,15.1816,0,15.0457,0.06,37.7605,0.06,37.67,0.12
1,18.023,0,0,0,15.1816,0,15.1191,0.06,37.7605,0.06,37.6989,0.12
1,18.023,0,0,0,15.1816,0,15.0339,0.07,37.7605,0.07,37.651,0.13
1,18.023,0,0,0,15.1816,0,15.2064,0.06,37.7605,0.06,37.7921,0.12
1,18.023,0,0,0,15.1816,0,15.097,0.055,37.7605,0.055,37.7276,0.129
1,18.023,0,40.2573,0,15.1816,0,15.2051,0.06,37.7605,0.06,37.676,0.12
1,18.023,0,0,0,15.1816,0,14.9901,0.07,37.7605,0.07,37.4724,0.14
1,18.023,0,0,0,15.1816,0,15.1884,0.06,37.7605,0.06,37.7614,0.13
1,18.023,0,86.7923,0,15.1816,0,15.2966,0.05,37.7605,0.05,37.7369,0.115
1,18.023,0,0,0,15.1816,0,15.1397,0.064,37.7605,0.064,37.7375,0.129
1,18.023,0,62.5129,0,15.1816,0,15.2615,0.06,37.7605,0.06,37.8981,0.12
1,18.023,0,0,0,15.1816,0,15.1127,0.06,37.7605,0.06,37.7022,0.12
1,18.023,0,0,0,15.1816,0,15.2653,0.06,37.7605,0.06,37.7861,0.13
1,18.023,0,13.6492,0,15.1816,0,15.3239,0.06,37.7605,0.06,37.5595,0.12
1,18.023,0,0,0,15.1816,0,15.3714,0.06,37.7605,0.06,37.7297,0.119
1,18.023,0,3.33831,0,15.1816,0,15.0419,0.06,37.7605,0.06,37.9223,0.12
1,18.023,0,0,0,15.1816,0,15.1331,0.065,37.7605,0.065,37.7196,0.135
1,18.023,0,2.76881,0,15.1816,0,15.2622,0.06,37.7605,0.06,37.8053,0.121
1,18.023,0,0,0,15.1816,0,15.1388,0.06,37.7605,0.06,37.6498,0.13
1,18.023,0,0,0,15.1816,0,15.1234,0.06,37.7605,0.06,37.6739,0.12
1,18.023,0,0,0,15.1816,0,15.1811,0.06,37.7605,0.06,37.8735,0.13
1,18.023,0,108.051,0,15.1816,0,15.3229,0.06,37.7605,0.06,37.7983,0.13
1,18.023,0,0,0,15.1816,0,15.1684,0.07,37.7605,0.07,37.8224,0.126
1,18.023,0,0,0,15.1816,0,15.1575,0.07,37.7605,0.07,37.5987,0.143
1,18.023,0,28.9631,0,15.1816,0,15.3144,0.065,37.7605,0.065,37.7736,0.135
1,18.023,0,45.5852,0,15.1816,0,15.2771,0.06,37.7605,0.06,37.6633,0.13
1,18.023,0,77.23,0,15.1816,0,15.1809,0.06,37.7605,0.06,37.8166,0.12
1,18.023,0,25.9419,0,15.1816,0,15.2152,0.06,37.7605,0.06,37.9329,0.13
1,18.023,0,0,0,15.1816,0,15.105,0.06,37.7605,0.06,37.6443,0.12
1,18.023,0,50.0031,0,15.1816,0,15.2646,0.06,37.7605,0.06,37.7288,0.13
1,18.023,0,0,0,15.1816,0,15.3564,0.07,37.7605,0.07,37.7446,0.13
1,18.023,0,0,0,15.1816,0,15.2223,0.056,37.7605,0.056,37.7086,0.13
1,18.023,0,40.9306,0,15.1816,0,15.1381,0.06,37.7605,0.06,37.7739,0.12
1,18.023,0,8.13558,0,15.1816,0,15.3379,0.06,37.7605,0.06,37.6882,0.13
1,18.023,0,12.932,0,15.1816,0,15.155,0.06,37.7605,0.06,37.9928,0.12
1,18.023,0,29.6417,0,15.1816,0,15.214,0.07,37.7605,0.07,37.7747,0.13
1,18.023,0,141.957,0,15.1816,0,15.1076,0.06,37.7605,0.06,37.8316,0.12
1,18.023,0,0,0,15.1816,0,15.1927,0.06,37.7605,0.06,37.8492,0.12
1,18.023,0,0,0,15.1816,0,15.3087,0.07,37.7605,0.07,37.9406,0.13
1,18.023,0,0,0,15.1816,0,15.37,0.051,37.7605,0.051,37.6556,0.119
1,18.023,0,18.1517,0,15.1816,0,15.1775,0.066,37.7605,0.066,37.6815,0.132
1,18.023,0,7.42696,0,15.1816,0,15.0949,0.06,37.7605,0.06,37.7338,0.12
1,18.023,0,0,0,15.1816,0,15.1286,0.06,37.7605,0.06,37.9828,0.12
1,18.023,0,0,0,15.1816,0,15.1024,0.07,37.7605,0.07,37.7178,0.13
1,18.023,0,6.45167,0,15.1816,0,15.1263,0.06,37.7605,0.06,37.642,0.12
1,18.023,0,0,0,15.1816,0,15.3273,0.07,37.7605,0.07,37.7549,0.13
1,18.023,0,0,0,15.1816,0,15.1614,0.06,37.7605,0.06,37.8062,0.13
1,18.023,0,37.9359,0,15.1816,0,15.2003,0.048,37.7605,0.048,37.7973,0.127
1,18.023,0,0,0,15.1816,0,15.201,0.06,37.7605,0.06,37.8841,0.12
1,18.023,0,0.657581,0,15.1816,0,15.1394,0.06,37.7605,0.06,37.6833,0.13
1,18.023,0,0,0,15.1816,0,15.1869,0.07,37.7605,0.07,37.6286,0.13
1,18.023,0,0,0,15.1816,0,15.1856,0.07,37.7605,0.07,37.7791,0.13
1,18.023,0,31.4736,0,15.1816,0,15.2924,0.06,37.7605,0.06,37.6801,0.13
1,18.023,0,0,0,15.1816,0,14.7864,0.07,37.7605,0.07,37.7006,0.14
1,18.023,0,57.7985,0,15.1816,0,15.0285,0.051,37.7605,0.051,37.6565,0.134
1,18.023,0,0,0,15.1816,0,15.0827,0.052,37.7605,0.052,37.8004,0.126
1,18.023,0,0,0,15.1816,0,15.2318,0.06,37.7605,0.06,37.93,0.12
1,18.023,0,0,0,15.1816,0,15.0544,0.07,37.7605,0.07,37.7562,0.13
1,18.023,0,0,0,15.1816,0,15.1545,0.07,37.7605,0.07,37.6997,0.13
1,18.023,0,0,0,15.1816,0,15.143,0.06,37.7605,0.06,37.595,0.12
1,18.023,0,0,0,15.1816,0,15.1868,0.06,37.7605,0.06,37.8366,0.12
1,18.023,0,0,0,15.1816,0,15.1787,0.07,37.7605,0.07,37.5713,0.13
1,18.023,0,11.5943,0,15.1816,0,15.2558,0.067,37.7605,0.067,37.695,0.129
1,18.023,0,0,0,15.1816,0,15.2028,0.051,37.7605,0.051,37.8363,0.128
1,18.023,0,52.397,0,15.1816,0,15.018,0.06,37.7605,0.06,37.7795,0.13
1,18.023,0,0,0,15.1816,0,15.2753,0.06,37.7605,0.06,37.636,0.12
1,18.023,0,99.1032,0,15.1816,0,15.1953,0.07,37.7605,0.07,37.9069,0.13
1,18.023,0,0,0,15.1816,0,15.2479,0.06,37.7605,0.06,37.8901,0.12
1,18.023,0,61.0221,0,15.1816,0,15.0636,0.07,37.7605,0.07,37.6624,0.14
1,18.023,0,0,0,15.1816,0,15.2534,0.07,37.7605,0.07,37.679,0.121
1,18.023,0,0,0,15.1816,0,15.2287,0.075,37.7605,0.075,37.8901,0.145
1,18.023,0,23.1828,0,15.1816,0,15.2907,0.07,37.7605,0.07,37.5219,0.137
1,18.023,0,0,0,15.1816,0,15.1159,0.06,37.7605,0.06,37.6229,0.12
1,18.023,0,71.146,0,15.1816,0,15.3046,0.06,37.7605,0.06,37.8454,0.121
1,18.023,0,47.1841,0,15.1816,0,15.0799,0.06,37.7605,0.06,37.8448,0.13
1,18.023,0,72.9601,0,15.1816,0,15.2347,0.06,37.7605,0.06,37.7191,0.12
1,18.023,0,0,0,15.1816,0,15.0681,0.07,37.7605,0.07,37.9127,0.131
1,18.023,0,0,0,15.1816,0,15.0478,0.06,37.7605,0.06,37.648,0.11
