iterations;delta th;delta th time;delta lr;delta lr time;delta pw;delta pw time;gamma th;gamma th time;gamma pwlr;gamma pwlr time;gamma lrpw;gamma lrpw time;gamma lrlr;gamma lrlr time;vega th;vega th time;vega lr;vega lr time;vega pw;vega pw time
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;2e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;0;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;2e-06;0;2e-06;37.842;1e-06;0;1e-06;0;2e-06
1;0.627409;1e-06;0.466751;1e-06;1.21947;0;0.0094605;0;0.00902499;0;0.0165521;2e-06;-0.0133104;1e-06;37.842;1e-06;-53.2417;2e-06;36.1;1e-06
1;0.627409;0;0;1e-06;0;2e-06;0.0094605;1e-06;0;1e-06;0;0;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;1e-06;0;1e-06;0;2e-06
1;0.627409;1e-06;0;2e-06;0;1e-06;0.0094605;0;0;2e-06;0;1e-06;0;1e-06;37.842;0;0;2e-06;0;1e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;1e-06;0;2e-06;0;1e-06;0;1e-06;37.842;2e-06;0;1e-06;0;0
1;0.627409;1e-06;0;1e-06;0;2e-06;0.0094605;1e-06;0;0;0;1e-06;0;2e-06;37.842;0;0;0;0;0
1;0.627409;1e-06;0;0;0;0;0.0094605;2e-06;0;1e-06;0;1e-06;0;1e-06;37.842;2e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;2e-06;0;1e-06;0;1e-06;0;2e-06;37.842;1e-06;0;1e-06;0;2e-06
1;0.627409;0;0.0683716;2e-06;1.04173;1e-06;0.0094605;0;-0.002547;1e-06;0.00718656;2e-06;-0.0058233;1e-06;37.842;0;-23.2932;2e-06;-10.188;1e-06
1;0.627409;2e-06;0;1e-06;0;0;0.0094605;1e-06;0;2e-06;0;1e-06;0;1e-06;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;2e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;0;0;1e-06;0;1e-06;37.842;1e-06;0;0;0;0
1;0.627409;1e-06;0.655818;2e-06;1.27564;1e-06;0.0094605;1e-06;0.0130314;1e-06;0.0192297;1e-06;-0.0135762;0;37.842;1e-06;-54.3048;2e-06;52.1257;2e-06
1;0.627409;1e-06;0;2e-06;0;1e-06;0.0094605;0;0;1e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;0
1;0.627409;2e-06;0;1e-06;0;1e-06;0.0094605;0;0;1e-06;0;1e-06;0;1e-06;37.842;1e-06;0;0;0;1e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;1e-06;0;1e-06;0;2e-06
1;0.627409;1e-06;0.148119;1e-06;1.09216;1e-06;0.0094605;0;0.000556934;1e-06;0.00999736;0;-0.00873274;1e-06;37.842;1e-06;-34.931;2e-06;2.22773;0
1;0.627409;1e-06;0.423384;1e-06;1.20524;2e-06;0.0094605;1e-06;0.00803616;0;0.0158548;1e-06;-0.013053;2e-06;37.842;1e-06;-52.2119;1e-06;32.1446;2e-06
1;0.627409;1e-06;0;2e-06;0;1e-06;0.0094605;0;0;1e-06;0;0;0;1e-06;37.842;2e-06;0;1e-06;0;0
1;0.627409;1e-06;0;1e-06;0;2e-06;0.0094605;0;0;0;0;2e-06;0;1e-06;37.842;0;0;1e-06;0;1e-06
1;0.627409;1e-06;0;0;0;0;0.0094605;1e-06;0;2e-06;0;1e-06;0;1e-06;37.842;2e-06;0;1e-06;0;1e-06
1;0.627409;2e-06;0;2e-06;0;1e-06;0.0094605;1e-06;0;2e-06;0;1e-06;0;1e-06;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;2e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;0;0;0;0;0;37.842;2e-06;0;0;0;0
1;0.627409;1e-06;2.8105;1e-06;1.6928;1e-06;0.0094605;0;0.0472277;1e-06;0.0360507;1e-06;0.0320619;1e-06;37.842;1e-06;128.248;2e-06;188.911;0
1;0.627409;2e-06;1.06456;1e-06;1.37709;1e-06;0.0094605;2e-06;0.0206537;2e-06;0.0237789;1e-06;-0.0106497;1e-06;37.842;1e-06;-42.5986;1e-06;82.6146;1e-06
1;0.627409;1e-06;1.86354;1e-06;1.53646;0;0.0094605;2e-06;0.0335605;1e-06;0.0302897;0;0.00412769;1e-06;37.842;1e-06;16.5108;1e-06;134.242;2e-06
1;0.627409;1e-06;0;1e-06;0;2e-06;0.0094605;0;0;0;0;1e-06;0;2e-06;37.842;0;0;0;0;1e-06
1;0.627409;0;0;0;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;0;0;1e-06;0;0;0.0094605;1e-06;0;1e-06;0;2e-06;0;1e-06;37.842;1e-06;0;2e-06;0;1e-06
1;0.627409;1e-06;0.0483223;2e-06;1.02505;2e-06;0.0094605;1e-06;-0.00354034;1e-06;0.0062269;1e-06;-0.00478051;0;37.842;1e-06;-19.122;1e-06;-14.1614;2e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;1e-06;0;0;0;1e-06;0;0;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0;2e-06;0;0;0.0094605;0;0;1e-06;0;2e-06;0;1e-06;37.842;0;0;1e-06;0;0
1;0.627409;0;0;2e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;0;37.842;1e-06;0;2e-06;0;1e-06
